date,CPU 1
1,15.61
2,24.33
3,24.33
4,24.33
5,24.33
6,24.33
7,31.55
8,31.55
9,31.55
10,31.55
11,31.55
12,8.66
13,8.66
14,8.66
15,8.66
16,8.66
17,18.24
18,18.24
19,18.24
20,18.24
21,18.24
22,8.69
23,8.69
24,8.69
25,8.69
26,8.69
27,24.83
28,24.83
29,24.83
30,24.83
31,24.83
32,24.12
33,24.12
34,24.12
35,24.12
36,24.12
37,20.25
38,20.25
39,20.25
40,20.25
41,20.25
42,17.19
43,17.19
44,17.19
45,17.19
46,17.19
47,19.81
48,19.81
49,19.81
50,19.81
51,19.81
52,25.63
53,25.63
54,25.63
55,25.63
56,25.63
57,14.76
58,14.76
59,14.76
60,14.76
61,14.76
62,16.81
63,16.81
64,16.81
65,16.81
66,16.81
67,27.32
68,27.32
69,27.32
70,27.32
71,27.32
72,28.94
73,28.94
74,28.94
75,28.94
76,28.94
77,19.69
78,19.69
79,19.69
80,19.69
81,19.69
82,9.64
83,9.64
84,9.64
85,9.64
86,9.64
87,22.16
88,22.16
89,22.16
90,22.16
91,22.16
92,8.96
93,8.96
94,8.96
95,8.96
96,8.96
97,14.55
98,14.55
99,14.55
100,14.55
101,14.55
102,6.56
103,6.56
104,6.56
105,6.56
106,6.56
107,19.10
108,19.10
109,19.10
110,19.10
111,19.10
112,11.57
113,11.57
114,11.57
115,11.57
116,11.57
117,4.45
118,4.45
119,4.45
120,4.45
121,4.45
122,8.69
123,8.69
124,8.69
125,8.69
126,8.69
127,9.00
128,9.00
129,9.00
130,9.00
131,9.00
132,6.19
133,6.19
134,6.19
135,6.19
136,6.19
137,10.68
138,10.68
139,10.68
140,10.68
141,10.68
142,11.00
143,11.00
144,11.00
145,11.00
146,11.00
147,15.68
148,15.68
149,15.68
150,15.68
151,15.68
152,13.19
153,13.19
154,13.19
155,13.19
156,13.19
157,7.38
158,7.38
159,7.38
160,7.38
161,7.38
162,10.74
163,10.74
164,10.74
165,10.74
166,10.74
167,13.81
168,13.81
169,13.81
170,13.81
171,13.81
172,7.39
173,7.39
174,7.39
175,7.39
176,7.39
177,18.37
178,18.37
179,18.37
180,18.37
181,18.37
182,36.92
183,36.92
184,36.92
185,36.92
186,36.92
187,27.64
188,27.64
189,27.64
190,27.64
191,27.64
192,13.08
193,13.08
194,13.08
195,13.08
196,13.08
197,25.98
198,25.98
199,25.98
200,25.98
201,25.98
202,27.94
203,27.94
204,27.94
205,27.94
206,27.94
207,28.00
208,28.00
209,28.00
210,28.00
211,28.00
212,32.70
213,32.70
214,32.70
215,32.70
216,32.70
217,2.13
218,2.13
219,2.13
220,2.13
221,2.13
222,14.04
223,14.04
224,14.04
225,14.04
226,14.04
227,20.62
228,20.62
229,20.62
230,20.62
231,20.62
232,10.68
233,10.68
234,10.68
235,10.68
236,10.68
237,9.06
238,9.06
239,9.06
240,9.06
241,9.06
242,4.31
243,4.31
244,4.31
245,4.31
246,4.31
247,6.81
248,6.81
249,6.81
250,6.81
251,6.81
252,24.84
253,24.84
254,24.84
255,24.84
256,24.84
257,18.51
258,18.51
259,18.51
260,18.51
261,18.51
262,24.55
263,24.55
264,24.55
265,24.55
266,24.55
267,16.58
268,16.58
269,16.58
270,16.58
271,16.58
272,19.72
273,19.72
274,19.72
275,19.72
276,19.72
277,10.58
278,10.58
279,10.58
280,10.58
281,10.58
282,21.20
283,21.20
284,21.20
285,21.20
286,21.20
287,11.68
288,11.68
289,11.68
290,11.68
291,11.68
292,4.46
293,4.46
294,4.46
295,4.46
296,4.46
297,9.62
298,9.62
299,9.62
300,9.62
301,9.62
302,5.31
303,5.31
304,5.31
305,5.31
306,5.31
307,13.47
308,13.47
309,13.47
310,13.47
311,13.47
312,24.29
313,24.29
314,24.29
315,24.29
316,24.29
317,13.80
318,13.80
319,13.80
320,13.80
321,13.80
322,16.74
323,16.74
324,16.74
325,16.74
326,16.74
327,16.06
328,16.06
329,16.06
330,16.06
331,16.06
332,27.23
333,27.23
334,27.23
335,27.23
336,27.23
337,17.71
338,17.71
339,17.71
340,17.71
341,17.71
342,8.56
343,8.56
344,8.56
345,8.56
346,8.56
347,8.93
348,8.93
349,8.93
350,8.93
351,8.93
352,11.81
353,11.81
354,11.81
355,11.81
356,11.81
357,7.32
358,7.32
359,7.32
360,7.32
361,7.32
362,3.27
363,3.27
364,3.27
365,3.27
366,3.27
367,3.00
368,3.00
369,3.00
370,3.00
371,3.00
372,5.81
373,5.81
374,5.81
375,5.81
376,5.81
377,17.26
378,17.26
379,17.26
380,17.26
381,17.26
382,16.12
383,16.12
384,16.12
385,16.12
386,16.12
387,4.77
388,4.77
389,4.77
390,4.77
391,4.77
392,19.02
393,19.02
394,19.02
395,19.02
396,19.02
397,20.94
398,20.94
399,20.94
400,20.94
401,20.94
402,20.06
403,20.06
404,20.06
405,20.06
406,20.06
407,9.71
408,9.71
409,9.71
